filename,utilization_pct,fp ops,Total Memory Ins,Frequency Eff (Mhz),ipc_sys_user,ic_hit_pct,dc_hit_pct,l2_miss_pct,l3_miss_pct,l2_hit_from_ic_miss_pct,l2_hit_from_dc_miss_pct,l2_hit_from_hwpf_pct,total_mem_bw,total_mem_rdbw,total_mem_wrbw,ic_access,ic_miss,dc_access,l2_access,l2_access_from_ic_miss,l2_access_from_dc_miss,l2_access_from_hwpf,l2_miss,l2_hit_from_ic_miss_raw,l2_hit_from_dc_miss_raw,l2_hit_from_hwpf_raw,Instructions,Misses,%Misses,Read Bandwidth,Write Bandwidth,Energy (SYS),Baseline (IDLE),Energy(Model)
AMDC_AMDS_micro_performance_adaboost.csv,99.65326667,1.55E+10,1.53E+12,4825.55,1.560333333,94.71077721,99.7178353,15.7326298,48.711,76.16844054,97.05744084,62.41988891,0.166764845,3.382356037,3.549468816,1.978866667,0.104666667,678.4808,3.234466667,0.072033333,1.914433333,1.248266667,0.508866667,0.054866667,1.8581,0.779166667,3.89E+11,1850343754,0.476188848,20.133,20.26,24070.09,6617,17453.09
AMDC_AMDS_micro_performance_kmeans.csv,99.58323333,2.20E+10,1.45E+12,4842.53,1.460566667,92.32275763,99.95134845,2.18286822,66.1476,99.90438779,94.12709567,22.87234043,0.101024459,2.237520486,2.337951293,55.63803333,4.271466667,682.4723,3.301466667,2.893633333,0.332033333,0.068933333,0.072066667,2.890866667,0.312533333,0.015766667,3.55E+11,2891738367,0.814749094,9.33,12.133,232728,6617,226111
AMDC_AMDS_micro_performance_ksvm.csv,85.32996667,2.18E+11,1.83E+12,4871.82,1.878133333,94.07723435,99.16164418,1.894158612,39.6168,89.54545455,98.36784293,97.54109158,0.057397064,2.414985993,2.47146179,6.977033333,0.413233333,667.4811,10.42503333,0.271333333,5.595866667,4.554866667,0.197466667,0.242966667,5.504533333,4.442866667,3.09E+11,305394401,0.09893078,15340,15641,24286.84,6617,17669.84
AMDC_AMDS_micro_performance_linear.csv,86.85244966,5.86E+11,1.71E+12,4855.386,1.644496644,90.8470003,99.50487224,26.08870724,89.4690604,66.6595472,83.76476406,60.24062454,0.732270835,10.25094351,10.98021654,2.387818792,0.218557047,712.6762081,6.666979866,0.157114094,3.528657718,2.978825503,1.739328859,0.104731544,2.955771812,1.794463087,2.26E+11,135580862,0.059979848,7552,7812,23256,6617,16639
AMDC_AMDS_micro_performance_lr.csv,99.57636667,1.52E+11,1.56E+12,4827.384,1.660566667,94.38704051,99.5733766,5.097576822,82.40423333,84.25287356,98.70531028,92.21124434,0.046564522,3.75317502,3.800031965,2.522733333,0.1416,647.5422333,6.926166667,0.087,2.762566667,4.075533333,0.353066667,0.0733,2.7268,3.7581,3.68E+11,537549647,0.146261267,8853,8897.6,23929,6617,17312
AMDC_AMDS_micro_performance_lsvm.csv,98.66954545,5.62E+10,1.41E+12,4824.97,1.549772727,95.49332472,99.51495892,16.31904746,46.6982197,83.14854248,88.28037523,72.20998464,0.051266714,3.739282057,3.789589461,14.30537879,0.64469697,627.7037879,5.59905303,0.515871212,3.044621212,2.046325758,0.913712121,0.428939394,2.68780303,1.477651515,3.71E+11,559938948,0.150734348,8960,9058.4,23918.84,6617,17301.84
AMDC_AMDS_micro_performance_nb.csv,92.52658863,1.33E+11,1.64E+12,4851.043,1.668695652,87.13514045,99.54564636,20.36256754,24.08424749,66.6536631,94.32444478,69.3695492,0.354037536,4.051578319,4.405496858,4.080234114,0.524916388,677.1426087,7.873979933,0.428662207,3.076622074,4.35638796,1.603344482,0.285719064,2.902006689,3.022006689,2.92E+11,422277611,0.144475261,5835138,5834924,23557.61,6617,16940.61
AMDC_AMDS_micro_performance_rf.csv,99.38163333,1.99E+09,1.57E+12,4822.886,1.400666667,95.61287345,99.83925778,34.59749936,40.5427,67.88617886,92.5524242,31.81764844,0.403089046,3.732498443,4.136699687,3.3226,0.145766667,776.2947,2.487366667,0.0984,1.247833333,1.136266667,0.860566667,0.0668,1.1549,0.361533333,3.45E+11,1908070652,0.552352223,2210,123.2,24006.23,6617,17389.23
AMDS_AMDC_micro_performance_adaboost.csv,1.687,0.00E+00,1.68E+11,3744.352,0.307033333,90.38867087,94.85397097,7.257018745,24.65463333,96.27142697,85.69979932,82.73764531,0.5578,0.346933333,0.210033333,438.0424333,42.1017,486.7468333,83.02766667,49.8904,25.04813333,8.378733333,6.025333333,48.0302,21.4662,6.932366667,1722073,160407,9.314761918,20.26,20.133,45475.58,46339,-863.42
AMDS_AMDC_micro_performance_kmeans.csv,1.695833333,0.00E+00,1.68E+11,3744.697,0.3085,90.40204108,94.78106085,7.579945923,23.94533333,96.55510043,84.21651598,81.72375291,0.564366667,0.353466667,0.210033333,436.6452667,41.90903333,486.0247,82.70903333,49.3638,25.36533333,8.4784,6.2693,47.66326667,21.3618,6.928866667,2457931,297042,12.08504226,12.133,9.33,45831.07,46339,-507.93
AMDS_AMDC_micro_performance_ksvm.csv,1.684266667,0.00E+00,1.70E+11,3743.723,0.311733333,90.42260364,95.10955678,5.937733024,26.2654,96.69695523,90.40409062,82.16443544,0.576633333,0.3638,0.210366667,442.6519667,42.39453333,486.6791333,81.3133,49.79143333,23.80076667,7.569333333,4.828166667,48.1468,21.51686667,6.2193,152002184,13376283,8.800059741,15641,15340,45703.13,46339,-635.87
AMDS_AMDC_micro_performance_linear.csv,1.699166667,0.00E+00,1.68E+11,3744.297,0.309166667,90.38734599,94.75256462,8.22079332,23.082,94.74403028,83.80523372,81.1249933,0.5808,0.3695,0.210033333,437.7025667,42.07483333,484.3985333,83.7628,50.3751,25.4185,8.702866667,6.885966667,47.7274,21.30203333,7.0602,120952959,11542951,9.543339076,7812,7552,45577.85,46339,-761.15
AMDS_AMDC_micro_performance_lr.csv,1.705533333,0.00E+00,1.68E+11,3743.114,0.3074,90.42873388,94.75639399,7.653171831,24.40346667,94.94283406,83.57239194,81.78094255,0.580766667,0.3693,0.210033333,437.6965333,41.8931,485.4738,82.41506667,50.09393333,25.45633333,8.365233333,6.307366667,47.5606,21.27446667,6.841166667,45169403,2884920,6.386889816,8897.6,8853,45594.97,46339,-744.03
AMDS_AMDC_micro_performance_lsvm.csv,1.6791,0.00E+00,1.69E+11,3744.284,0.3101,90.33185792,94.75695747,7.350835188,24.3501,96.8588909,85.07026238,82.17151261,0.573733333,0.362566667,0.2101,434.1165,41.971,484.1807,83.14293333,49.48676667,25.3858,8.657866667,6.1117,47.93233333,21.59576667,7.1143,45276088,2949130,6.513659042,9058.4,8960,45477.94,46339,-861.06
AMDS_AMDC_micro_performance_nb.csv,2.0139,1.40E+09,2.47E+11,3741.155,0.419,88.50312982,96.42449513,14.73883529,16.00046667,92.85431555,70.38935646,68.97536613,0.658733333,0.435333333,0.2215,357.2302667,41.0703,524.4900333,73.6017,48.42223333,18.75316667,6.127066667,10.84803333,44.96213333,13.20023333,4.226166667,24958073431,911402762,3.651735237,5834924,5835138,46650.31,46339,311.31
AMDS_AMDC_micro_performance_rf.csv,1.6945,0.00E+00,1.68E+11,3745.297,0.307466667,90.44206691,94.78614642,7.571281239,23.6653,96.4233586,85.02108233,82.06144967,0.5749,0.3639,0.2101,439.0067,41.95996667,485.6555,82.61173333,49.53436667,25.32136667,8.582633333,6.254766667,47.7627,21.5285,7.043033333,7757987,584853,7.538721063,123.2,2210,45472.13,46339,-866.87
